ㅁ,	*ARC
ㅇㄱ,	*DRAWORDER
ㅇㄱㅁ,	*DIMRADIUS
ㅇㄱㅁㄹㅅㅁㅜㅎㅣㄷㅁㅜㅁㅣㅛㄴㅑㄴ,	*ANALYSISDRAFTANGLE
ㅇㄱㄷ,	*DIMREASSOCIATE
ㅇㄱㅡ,	*DRAWINGRECOVERY
ㅇㄴ,	*DSETTINGS
ㅇㄴㅅ,	*DIMSTYLE
ㅇㅅ,	*TEXT
ㅇㅍ,	*DVIEW
ㅇㅌ,	*DATAEXTRACTION
ㄷ,	*ERASE
ㄷㅇ,	*TEXTEDIT
ㄷㅣ,	*ELLIPSE
ㄷㄱ,	*EXTERNALREFERENCES
ㄷㄴㅗㅐㅅ,	*EDITSHOT
ㄷㅌ,	*EXTEND
ㄷㅌㅑㅅ,	*QUIT
ㄷㅌㅔ,	*EXPORT
ㄷㅌㅅ,	*EXTRUDE
ㄷㅌㅅㄷㅜㅇㄴㄱㄹ,	*SURFEXTEND
ㄹ,	*FILLET
ㄹㅑ,	*FILTER
ㄹㅑㅣㅣㄷㅅㄴㄱㄹ,	*SURFFILLET
ㄹㄱㄷㄷㅔㅐㅑㅜㅅ,	*POINTLIGHT
ㄹㄴㅗㅐㅅ,	*FLATSHOT
ㅎ,	*GROUP
-ㅎ,	*-GROUP
ㅎㅊㅐㅜ,	*GEOMCONSTRAINT
ㅎㅇ,	*GRADIENT
ㅎㄷㅜㄷㄱㅁㅅㄷㄴㄷㅊㅅㅑㅐㅜ,	*SECTIONPLANETOBLOCK
ㅎㄷㅐ,	*GEOGRAPHICLOCATION
ㅎㄱ,	*DDGRIPS
ㅗ,	*HATCH
-ㅗ,	*-HATCH
ㅗㄷ,	*HATCHEDIT
ㅗㅠ,	*HATCHTOBACK
ㅗㅑ,	*HIDE
ㅑ,	*INSERT
-ㅑ,	*-INSERT
ㅑㅁㅇ,	*IMAGEADJUST
ㅑㅁㅅ,	*IMAGEATTACH
ㅑㅊㅣ,	*IMAGECLIP
ㅑㅡ,	*IMAGE
-ㅑㅡ,	*-IMAGE
ㅑㅡㅔ,	*IMPORT
ㅑㅜ,	*INTERSECT
ㅑㅜㄴㄷㄱㅅㅊㅐㅜㅅㄱㅐㅣㅔㅐㅑㅜㅅ,	*CVADD
ㅑㅜㄹ,	*INTERFERE
ㅑㅐ,	*INSERTOBJ
ㅑㄴㅐㅣㅁㅅㄷ,	*ISOLATEOBJECTS
ㅂㅍㅇ,	*QVDRAWING
ㅂㅍㅇㅊ,	*QVDRAWINGCLOSE
ㅂㅍㅣ,	*QVLAYOUT
ㅂㅍㅣㅊ,	*QVLAYOUTCLOSE
ㅓ,	*JOIN
ㅓㅐㅎㄴㄷㅊㅅㅑㅐㅜ,	*SECTIONPLANEJOG
ㅣ,	*LINE
ㅣㅁ,	*LAYER
-ㅣㅁ,	*-LAYER
ㅣㅁㄴ,	*LAYERSTATE
ㅣㄷ,	*QLEADER
ㅣㄷㅜ,	*LENGTHEN
ㅣㄷㄴㄴ,	*MESHSMOOTHLESS
ㅣㅑ,	*LIST
ㅣㅑㅜㄷㅈㄷㅑㅎㅗㅅ,	*LWEIGHT
ㅣㅡㅁㅜ,	*LAYERSTATE
ㅣㅐ,	*-LAYOUT
ㅣㄴ,	*LIST
ㅣㅅ,	*LINETYPE
-ㅣㅅ,	*-LINETYPE
ㅣㅅㅛㅔㄷ,	*LINETYPE
-ㅣㅅㅛㅔㄷ,	*-LINETYPE
ㅣㅅㄴ,	*LTSCALE
ㅣㅈ,	*LWEIGHT
ㅡ,	*MOVE
ㅡㅁ,	*MATCHPROP
ㅡㅁㅅ,	*MATBROWSEROPEN
ㅡㄷ,	*MEASURE
ㅡㄷㅁ,	*MEASUREGEOM
ㅡㅑ,	*MIRROR
ㅡㅣ,	*MLINE
ㅡㅣㅁ,	*MLEADERALIGN
ㅡㅣㅊ,	*MLEADERCOLLECT
ㅡㅣㅇ,	*MLEADER
ㅡㅣㄷ,	*MLEADEREDIT
ㅡㅣㄴ,	*MLEADERSTYLE
ㅡㅐ,	*PROPERTIES
ㅡㅐㄱㄷ,	*MESHSMOOTHMORE
ㅡㅐㅅㅑㅐㅜ,	*NAVSMOTION
ㅡㅐㅅㅑㅐㅜㅊㅣㄴ,	*NAVSMOTIONCLOSE
ㅡㄴ,	*MSPACE
ㅡㄴㅡ,	*MARKUP
ㅡㅅ,	*MTEXT
ㅡㅍ,	*MVIEW
ㅜㄷㅅㅈㅐㄱㅏㄴㄱㄹ,	*SURFNETWORK
ㅜㅐㄱㅅㅗ,	*GEOGRAPHICLOCATION
ㅜㅐㄱㅅㅗㅇㅑㄱ,	*GEOGRAPHICLOCATION
ㅜㄴㅗㅐㅅ,	*NEWSHOT
ㅜㅍㅑㄷㅈ,	*NEWVIEW
ㅐ,	*OFFSET
ㅐㄹㄹㄴㄷㅅㄴㄱㄹ,	*SURFOFFSET
ㅐㅔ,	*OPTIONS
ㅐㄱㅠㅑㅅ,	*3DORBIT
ㅐㄴ,	*OSNAP
-ㅐㄴ,	*-OSNAP
ㅔ,	*PAN
-ㅔ,	*-PAN
ㅔㅁ,	*PASTESPEC
ㄱㅁㅔㅑㅇㅔㄱㅐㅅㅐㅅㅛㅔㄷ,	*3DPRINT
ㅔㅁㄱ,	*PARAMETERS
-ㅔㅁㄱ,	*-PARAMETERS
ㅔㅁㄱㅁㅡ,	*BPARAMETER
ㅔㅁㄱㅅㅑㅁㅣㅐㅔㄷㅜ,	*-PARTIALOPEN
ㅔㅁㅅㅊㅗ,	*SURFPATCH
ㅔㅊㅁㅅㅅㅁㅊㅗ,	*POINTCLOUDATTACH
ㄷㅔㅇㄹㄴㅗㅌ,	*PDFSHX
ㅔㄷ,	*PEDIT
ㅔㅣ,	*PLINE
ㅔㅐ,	*POINT
ㅔㅐㄹㄹ,	*HIDEPALETTES
ㅔㅐㅑㅜㅅㅐㅜ,	*CVSHOW
ㅔㅐㅑㅜㅅㅐㄹㄹ,	*CVHIDE
ㅔㅐㅣ,	*POLYGON
ㅔㅐㅜ,	*SHOWPALETTES
ㅔㄱ,	*PROPERTIES
ㅔㄱㅊㅣㅐㄴㄷ,	*PROPERTIESCLOSE
ㅔㄱㅐㅔㄴ,	*PROPERTIES
ㅔㄱㄷ,	*PREVIEW
ㅔㄱㅑㅜㅅ,	*PLOT
ㅔㄴ,	*PSPACE
ㅔㄴㅐㅣㅑㅇ,	*POLYSOLID
ㅔㅕ,	*PURGE
-ㅔㅕ,	*-PURGE
ㅔㅛㄱ,	*PYRAMID
ㅂㅊ,	*QUICKCALC
ㅂㅊㅕㅑ,	*QUICKCUI
ㅂㅔ,	*QUICKPROPERTIES
ㄱ,	*REDRAW
ㄱㅁ,	*REDRAWALL
ㄱㅊ,	*RENDERCROP
ㄱㄷ,	*REGEN
ㄱㄷㅁ,	*REGENALL
ㄱㄷㅠㅕㅑㅣㅇ,	*CVREBUILD
ㄱㄷㅊ,	*RECTANG
ㄱㄷㄹㅑㅜㄷ,	*MESHREFINE
ㄱㄷㅎ,	*REGION
ㄱㄷㅡㅐㅍㄷㅊㅐㅜㅅㄱㅐㅣㅔㅐㅑㅜㅅ,	*CVREMOVE
ㄱㄷㅜ,	*RENAME
-ㄱㄷㅜ,	*-RENAME
ㄱㄷㅍ,	*REVOLVE
ㄱㅐ,	*ROTATE
ㄱㅔ,	*RENDERPRESETS
ㄱㅔㄱ,	*RPREF
ㄱㄱ,	*RENDER
ㄱㅈ,	*RENDERWINDOW
ㄴ,	*STRETCH
ㄴㅊ,	*SCALE
ㄴㅊㄱ,	*SCRIPT
ㄴㄷ,	*DSETTINGS
ㄴㄷㅊ,	*SECTION
ㄴㄷㅅ,	*SETVAR
ㄴㅗㅁ,	*SHADEMODE
ㄴㅣ,	*SLICE
ㄴㅡㅐㅐㅅㅗ,	*MESHSMOOTH
ㄴㅜ,	*SNAP
ㄴㅐ,	*SOLID
ㄴㅔ,	*SPELL
ㄴㅔㅣ,	*SPLINE
ㄴㅔㅣㅁㅜㄷ,	*SECTIONPLANE
ㄴㅔㅣㅁㅛ,	*SEQUENCEPLAY
ㄴㅔㅣㅑㅅ,	*MESHSPLIT
ㄴㅔㄷ,	*SPLINEDIT
ㄴㄴㅡ,	*SHEETSET
ㄴㅅ,	*STYLE
ㄴㅅㅁ,	*STANDARDS
ㄴㅕ,	*SUBTRACT
ㅅ,	*MTEXT
-ㅅ,	*-MTEXT
ㅅㅁ,	*TEXTALIGN
ㅅㅠ,	*TABLE
ㅅㄷㅇㅑㅅ,	*TEXTEDIT
ㅅㅗ,	*THICKNESS
ㅅㅑ,	*TILEMODE
ㅅㅐ,	*TOOLBAR
ㅅㅐㅣ,	*TOLERANCE
ㅅㅐㄱ,	*TORUS
ㅅㅔ,	*TOOLPALETTES
ㅅㄱ,	*TRIM
ㅅㄴ,	*TABLESTYLE
ㅕㅊ,	*UCSMAN
ㅕㅜ,	*UNITS
-ㅕㅜ,	*-UNITS
ㅕㅜㅊㄱㄷㅁㄴㄷ,	*MESHUNCREASE
ㅕㅜㅗㅑㅇㄷ,	*UNISOLATEOBJECTS
ㅕㅜㅑ,	*UNION
ㅕㅜㅑㄴㅐㅣㅁㅅㄷ,	*UNISOLATEOBJECTS
ㅍ,	*VIEW
ㅍㅎㅐ,	*VIEWGO
ㅍㅔㅣㅁㅛ,	*VIEWPLAY
-ㅍ,	*-VIEW
ㅍㅔ,	*VPOINT
-ㅍㅔ,	*-VPOINT
ㅍㄴ,	*VSCURRENT
ㅍㄴㅡ,	*VISUALSTYLES
-ㅍㄴㅡ,	*-VISUALSTYLES
ㅈ,	*WBLOCK
-ㅈ,	*-WBLOCK
ㅈㄷ,	*WEDGE
ㅈㅗㄷㄷㅣ,	*NAVSWHEEL
ㅌ,	*EXPLODE
ㅌㅁ,	*XATTACH
ㅌㅠ,	*XBIND
-ㅌㅠ,	*-XBIND
ㅌㅊ,	*XCLIP
ㅌㅣ,	*XLINE
ㅌㄱ,	*XREF
-ㅌㄱ,	*-XREF
ㅋ,	*ZOOM
